name,bot #,year,month,day,hour,min,sec,reading count,trial length,amb temp,track motor temp,track drive temp,track current,track rpm,all prof track follow err,conveyer drive temp,conveyer current,conveyer rpm,u asc,u dsc,u ht,u hb,u tcu,u tcd,u bcu,u bcd,l asc,l dsc,l ht,l hb,l tcu,l tcd,l bcu,l bcd
iBot126_20190227_084944,126.0,2019.0,2.0,27.0,8.0,49.0,44.0,4063.0,8.560933333,235.0,546.0,400.0,1595.0,7870.0,0.0,6180.0,300.0,0.0,56.0,55.0,42.0,50.0,24.0,25.0,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190226_144340,126.0,2019.0,2.0,26.0,14.0,43.0,40.0,3752.0,6.6692,253.0,521.0,420.0,1532.0,7889.0,0.0,6205.0,320.0,0.0,51.0,46.0,36.0,74.0,28.0,23.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190306_093840,126.0,2019.0,3.0,6.0,9.0,38.0,40.0,10715.0,19.82965,234.0,660.0,450.0,1840.0,7875.0,0.0,6181.0,300.0,0.0,78.0,69.0,40.0,96.0,24.0,28.0,52.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot128_20190712_135005,128.0,2019.0,7.0,12.0,13.0,50.0,5.0,460.0,0.197416667,237.0,219.0,220.0,0.0,0.0,0.0,6182.0,220.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190227_084944,126.0,2019.0,2.0,27.0,8.0,49.0,44.0,4063.0,8.560933333,235.0,546.0,400.0,1595.0,7870.0,0.0,6180.0,300.0,0.0,56.0,55.0,42.0,50.0,24.0,25.0,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190523_063613,116.0,2019.0,5.0,23.0,6.0,36.0,13.0,586339.0,233.4310667,366.0,841.0,670.0,2075.0,6336.0,0.0,6324.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,263.0,23.0,34.0,47.0,17.0,20.0,224.0
iBot117_20190226_144341,117.0,2019.0,2.0,26.0,14.0,43.0,41.0,3630.0,6.670166667,252.0,513.0,450.0,1861.0,7724.0,0.0,6197.0,330.0,0.0,61.0,67.0,40.0,60.0,20.0,23.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_101638,116.0,2019.0,3.0,19.0,10.0,16.0,38.0,105971.0,-0.000433333,343.0,751.0,650.0,2033.0,6391.0,318.0,330.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,318.0,17.0,17.0,32.0,10.0,12.0,267.0
iBot126_20190306_093840,126.0,2019.0,3.0,6.0,9.0,38.0,40.0,10715.0,19.82965,234.0,660.0,450.0,1840.0,7875.0,96.0,300.0,0.0,0.0,78.0,69.0,40.0,96.0,24.0,28.0,52.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190314_074539,116.0,2019.0,3.0,14.0,7.0,45.0,39.0,27965.0,30.58933333,357.0,848.0,670.0,1956.0,5774.0,85.0,400.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,84.0,17.0,18.0,85.0,11.0,11.0,79.0
iBot116_20190807_141606,116.0,2019.0,8.0,7.0,14.0,16.0,6.0,92409.0,69.90225,353.0,644.0,350.0,1742.0,7144.0,99.0,470.0,150.0,4378.0,99.0,88.0,0.0,67.0,0.0,0.0,66.0,53.0,98.0,88.0,13.0,0.0,25.0,11.0,0.0,0.0
iBot128_20190712_135005,128.0,2019.0,7.0,12.0,13.0,50.0,5.0,460.0,0.197416667,237.0,219.0,220.0,0.0,0.0,28.0,220.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot117_20190329_070242,117.0,2019.0,3.0,29.0,7.0,2.0,42.0,38877.0,62.68086667,302.0,273.0,400.0,0.0,0.0,8.0,410.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot110_20190226_133211,110.0,2019.0,2.0,26.0,13.0,32.0,11.0,5828.0,24.09888333,268.0,571.0,420.0,1657.0,7757.0,67.0,300.0,0.0,0.0,61.0,37.0,52.0,65.0,24.0,22.0,29.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190226_133211,107.0,2019.0,2.0,26.0,13.0,32.0,11.0,6104.0,24.10118333,261.0,610.0,470.0,1970.0,7746.0,73.0,300.0,0.0,0.0,62.0,70.0,38.0,73.0,33.0,35.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190226_144341,107.0,2019.0,2.0,26.0,14.0,43.0,41.0,3561.0,6.670016667,271.0,546.0,420.0,2008.0,7734.0,283.0,320.0,0.0,0.0,47.0,40.0,35.0,283.0,24.0,23.0,26.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_095152,116.0,2019.0,3.0,19.0,9.0,51.0,52.0,5087.0,-0.00025,270.0,217.0,420.0,1557.0,7694.0,48.0,350.0,0.0,0.0,48.0,36.0,22.0,42.0,18.0,22.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190617_075902,107.0,2019.0,6.0,17.0,7.0,59.0,2.0,69264.0,-0.000383333,299.0,929.0,850.0,2018.0,6237.0,149.0,420.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,149.0,19.0,26.0,38.0,12.0,18.0,134.0
iBot117_20190329_070242,117.0,2019.0,3.0,29.0,7.0,2.0,42.0,38877.0,62.68086667,30.2,27.3,40.0,0.0,0.0,8.0,41.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190612_150508,107.0,2019.0,6.0,12.0,15.0,5.0,8.0,14843.0,-0.0005,281.0,807.0,850.0,2012.0,6140.0,143.0,400.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,143.0,19.0,23.0,42.0,15.0,16.0,139.0
iBot126_20190306_082604,126.0,2019.0,3.0,6.0,8.0,26.0,4.0,16899.0,24.62426667,238.0,624.0,450.0,1990.0,7766.0,88.0,300.0,0.0,0.0,64.0,67.0,41.0,88.0,24.0,31.0,44.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190226_144340,126.0,2019.0,2.0,26.0,14.0,43.0,40.0,3752.0,6.6692,253.0,521.0,420.0,1532.0,7889.0,74.0,320.0,0.0,0.0,51.0,46.0,36.0,74.0,28.0,23.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190301_145030,126.0,2019.0,3.0,1.0,14.0,50.0,30.0,5372.0,35.6524,271.0,515.0,370.0,1534.0,7877.0,77.0,300.0,0.0,0.0,52.0,54.0,49.0,77.0,29.0,49.0,41.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190226_133211,107.0,2019.0,2.0,26.0,13.0,32.0,11.0,6104.0,24.10118333,26.1,61.0,47.0,1970.0,7746.0,73.0,30.0,0.0,0.0,62.0,70.0,38.0,73.0,33.0,35.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot117_20190226_144341,117.0,2019.0,2.0,26.0,14.0,43.0,41.0,3630.0,6.670166667,25.2,51.3,45.0,1861.0,7724.0,67.0,33.0,0.0,0.0,61.0,67.0,40.0,60.0,20.0,23.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190226_133211,107.0,2019.0,2.0,26.0,13.0,32.0,11.0,6104.0,24.10118333,26.1,61.0,47.0,1970.0,7746.0,73.0,30.0,0.0,0.0,62.0,70.0,38.0,73.0,33.0,35.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190226_144340,126.0,2019.0,2.0,26.0,14.0,43.0,40.0,3752.0,6.6692,25.3,52.1,42.0,1532.0,7889.0,74.0,32.0,0.0,0.0,51.0,46.0,36.0,74.0,28.0,23.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot107_20190226_133211,107.0,2019.0,2.0,26.0,13.0,32.0,11.0,6104.0,24.10118333,26.1,61.0,47.0,1970.0,7746.0,73.0,30.0,0.0,0.0,62.0,70.0,38.0,73.0,33.0,35.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot117_20190329_081241,117.0,2019.0,3.0,29.0,8.0,12.0,41.0,194694.0,348.1804833,30.5,53.7,45.0,1607.0,7412.0,94.0,43.0,0.0,0.0,94.0,63.0,80.0,71.0,39.0,21.0,39.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_095152,116.0,2019.0,3.0,19.0,9.0,51.0,52.0,5087.0,-0.00025,27.0,21.7,42.0,1557.0,7694.0,48.0,35.0,0.0,0.0,48.0,36.0,22.0,42.0,18.0,22.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_095152,116.0,2019.0,3.0,19.0,9.0,51.0,52.0,5087.0,-0.00025,27.0,21.7,42.0,1557.0,7694.0,48.0,35.0,0.0,0.0,48.0,36.0,22.0,42.0,18.0,22.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190314_145001,116.0,2019.0,3.0,14.0,14.0,50.0,1.0,39526.0,27.4736,39.8,58.3,68.0,902.0,0.0,9.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190314_074539,116.0,2019.0,3.0,14.0,7.0,45.0,39.0,27965.0,30.58933333,35.7,84.8,67.0,1956.0,5774.0,85.0,40.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,84.0,17.0,18.0,85.0,11.0,11.0,79.0
iBot117_20190328_105033,117.0,2019.0,3.0,28.0,10.0,50.0,33.0,93431.0,-0.00185,23.1,22.5,25.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190322_091503,116.0,2019.0,3.0,22.0,9.0,15.0,3.0,194359.0,-0.001666667,37.0,81.8,70.0,2040.0,6307.0,304.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,235.0,19.0,18.0,33.0,11.0,12.0,304.0
iBot110_20190226_133211,110.0,2019.0,2.0,26.0,13.0,32.0,11.0,5828.0,24.09888333,26.8,57.1,42.0,1657.0,7757.0,67.0,30.0,0.0,0.0,61.0,37.0,52.0,65.0,24.0,22.0,29.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190521_135420,116.0,2019.0,5.0,21.0,13.0,54.0,20.0,364597.0,-0.0004,30.7,61.7,47.0,1919.0,7243.0,122.0,32.0,0.0,0.0,63.0,122.0,37.0,67.0,27.0,35.0,64.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_113224,116.0,2019.0,3.0,19.0,11.0,32.0,24.0,2943.0,3.849966667,31.8,68.6,50.0,1748.0,7365.0,76.0,32.0,0.0,0.0,76.0,48.0,30.0,62.0,26.0,28.0,28.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_112838,116.0,2019.0,3.0,19.0,11.0,28.0,38.0,2481.0,-0.00105,31.7,65.8,50.0,1763.0,7340.0,73.0,32.0,0.0,0.0,73.0,59.0,21.0,55.0,23.0,29.0,33.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_113224,116.0,2019.0,3.0,19.0,11.0,32.0,24.0,2943.0,3.849966667,31.8,68.6,50.0,1748.0,7365.0,76.0,32.0,0.0,0.0,76.0,48.0,30.0,62.0,26.0,28.0,28.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190424_063231,116.0,2019.0,4.0,24.0,6.0,32.0,31.0,554915.0,215.6153333,37.2,83.9,72.0,2049.0,6284.0,263.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,263.0,21.0,34.0,40.0,14.0,16.0,171.0
iBot117_20190329_081241,117.0,2019.0,3.0,29.0,8.0,12.0,41.0,194694.0,348.1804833,30.5,53.7,45.0,1607.0,7412.0,94.0,43.0,0.0,0.0,94.0,63.0,80.0,71.0,39.0,21.0,39.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190423_134029,116.0,2019.0,4.0,23.0,13.0,40.0,29.0,102203.0,-0.000233333,33.9,625.8,70.0,2017.0,6503.0,179.0,37.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,179.0,23.0,32.0,37.0,16.0,15.0,137.0
iBot126_20190301_145030,126.0,2019.0,3.0,1.0,14.0,50.0,30.0,5372.0,35.6524,27.1,51.5,37.0,1534.0,7877.0,77.0,30.0,0.0,0.0,52.0,54.0,49.0,77.0,29.0,49.0,41.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot120_20190301_145031,120.0,2019.0,3.0,1.0,14.0,50.0,31.0,3886.0,-0.011716667,25.0,53.2,42.0,1859.0,7727.0,64.0,30.0,0.0,0.0,54.0,64.0,53.0,55.0,22.0,42.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
